Fornecedor,Mês,Data,Cliente,Pedido,NFE,Valor,Tabela,Situação,Valor_Num
TOY MASTER,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
TOY MASTER,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
TOY MASTER,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
TOY MASTER,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
TOY MASTER,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
TOY MASTER,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
TOY MASTER,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
TT BRASIL,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
TT BRASIL,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
TT BRASIL,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
TT BRASIL,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
TT BRASIL,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
TT BRASIL,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
TT BRASIL,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
TT BRASIL,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
TT BRASIL,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
UNIK HOME,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
UNIK HOME,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
UNIK HOME,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
UNIK HOME,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
UNIK HOME,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
UNIK HOME,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
UNIK HOME,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
UNIK HOME,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
UNIK HOME,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
ZEIN,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
ZEIN,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
ZEIN,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
ZEIN,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
ZEIN,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
ZEIN,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
ZEIN,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
ZEIN,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
ZEIN,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
SHELEITON,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
SHELEITON,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
SHELEITON,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
SHELEITON,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
SHELEITON,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
SHELEITON,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
SHELEITON,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
SHELEITON,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
SHELEITON,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
DECOR MART,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
DECOR MART,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
DECOR MART,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
DECOR MART,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
DECOR MART,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
DECOR MART,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
DECOR MART,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
DECOR MART,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
DECOR MART,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
ISANOG,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
ISANOG,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
ISANOG,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
ISANOG,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
ISANOG,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
ISANOG,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
ISANOG,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
ISANOG,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
ISANOG,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
DAGIA,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
DAGIA,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
DAGIA,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
DAGIA,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
DAGIA,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
DAGIA,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
DAGIA,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
DAGIA,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
DAGIA,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
CODAY,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
CODAY,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
CODAY,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
CODAY,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
CODAY,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
CODAY,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
CODAY,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
CODAY,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
CODAY,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
